CINDA BACKUP   BCK00920241224  86374  82138
    466) Area:9 Z=89  AC-218    bl:3     ln:3    
    467) Area:9 Z=89  AC-219    bl:3     ln:3    
    468) Area:9 Z=89  AC-220    bl:3     ln:3    
    469) Area:9 Z=89  AC-221    bl:4     ln:4    
    470) Area:9 Z=89  AC-222    bl:4     ln:4    
    471) Area:9 Z=89  AC-223    bl:2     ln:2    
    472) Area:9 Z=89  AC-224    bl:1     ln:1    
    473) Area:9 Z=89  AC-225    bl:1     ln:1    
    474) Area:9 Z=89  AC-226    bl:1     ln:1    
    475) Area:9 Z=89  AC-227    bl:5     ln:5    
    476) Area:9 Z=90  TH-0      bl:87    ln:88   
    477) Area:9 Z=90  TH-220    bl:3     ln:3    
    478) Area:9 Z=90  TH-221    bl:2     ln:2    
